11,0,12,21,0,Start
12,0,13,22,11,Empty
13,0,14,23,12,Empty
14,0,15,24,13,Empty
15,0,16,25,14,Empty
16,0,17,26,15,Empty
17,0,18,27,16,Empty
18,0,19,28,17,Empty
19,0,0,29,18,Empty
21,11,22,31,0,Empty
22,12,23,32,21,Empty
23,13,24,33,22,Empty
24,14,25,34,23,Empty
25,15,26,35,24,Empty
26,16,27,36,25,Empty
27,17,28,37,26,Empty
28,18,29,38,27,Empty
29,19,0,39,28,Empty
31,21,32,41,0,Empty
32,22,33,42,31,Empty
33,23,34,43,32,Empty
34,24,35,44,33,Empty
35,25,36,45,34,Empty
36,26,37,46,35,Empty
37,27,38,47,36,Empty
38,28,39,48,37,Empty
39,29,0,49,38,Empty
41,31,42,51,0,Empty
42,32,43,52,41,Empty
43,33,44,53,42,Empty
44,34,45,54,43,Empty
45,35,46,55,44,Empty
46,36,47,56,45,Empty
47,37,48,57,46,Empty
48,38,49,58,47,Empty
49,39,0,59,48,Empty
51,41,52,61,0,Empty
52,42,53,62,51,Empty
53,43,54,63,52,Empty
54,44,55,64,53,Empty
55,45,56,65,54,Empty
56,46,57,66,55,Empty
57,47,58,67,56,Empty
58,48,59,68,57,Empty
59,49,0,69,58,Empty
61,51,62,71,0,Empty
62,52,63,72,61,Empty
63,53,64,73,62,Empty
64,54,65,74,63,Empty
65,55,66,75,64,Empty
66,56,67,76,65,Empty
67,57,68,77,66,Empty
68,58,69,78,67,Empty
69,59,0,79,68,Empty
71,61,72,81,0,Empty
72,62,73,82,71,Empty
73,63,74,83,72,Empty
74,64,75,84,73,Empty
75,65,76,85,74,Empty
76,66,77,86,75,Empty
77,67,78,87,76,Empty
78,68,79,88,77,Empty
79,69,0,89,78,Empty
81,71,82,91,0,Empty
82,72,83,92,81,Empty
83,73,84,93,82,Empty
84,74,85,94,83,Empty
85,75,86,95,84,Empty
86,76,87,96,85,Empty
87,77,88,97,86,Empty
88,78,89,98,87,Empty
89,79,0,99,88,Empty
91,81,92,0,0,Empty
92,82,93,0,91,Empty
93,83,94,0,92,Empty
94,84,95,0,93,Empty
95,85,96,0,94,Empty
96,86,97,0,95,Empty
97,87,98,0,96,Empty
98,88,99,0,97,Empty
99,89,0,104,98,Product
